eleccion,nro,candidato,partido,total
2020,1,Daniel Urresti,Podemos,484.188
2020,2,Alberto de Belaunde,Partido Morado,232.731
2020,3,Martha Chávez,Fuerza Popular,152.485
2020,4,Alberto Beingolea,Partido Popular Cristiano,123.248
2020,5,Enrique Fernández Chacón,Frente Amplio,103.486
2016,1,Kenji Fujimori,Fuerza Popular,526.545
2016,2,Mercedes Aráoz,Peruanos por el Kambio,128.414
2016,3,Cecilia Chacón,Fuerza Popular,114.379
2016,4,Richard Acuña,Frente Amplio,89.684
2016,5,Yeny Vilcatoma,Fuerza Popular,86.222
2011,1,Kenji Fujimori,Fuerza 2011,329.561
2011,2,Humberto Lay Sun,Alianza por el Gran Cambio,185.069
2011,3,Alberto Beingolea,Alianza por el Gran Cambio,137.576
2011,4,Carlos Bruce,Perú Posible,112.869
2011,5,Jaime Delgado,Gana Perú,102.957
2006,1,Keiko Fujimori,Alianza por el Futuro,602.869
2006,2,Carlos Bruce,Perú Posible,193.374
2006,3,Mercedes Cabanillas,Partido Aprista,182.567
2006,4,Alberto Andrade,Frente de Centro,131.178
2006,5,Gabriela Pérez del Solar,Unidad Nacional,131.060
2001,1,Anel Townsend,Perú Posible,329.970
2001,2,,,
2001,3,,,
2001,4,,,
2001,5,,,